Datum,GLD_Goldpreis,Silber_Preis,SP500_Aktienmarkt,Oelpreis_USO,EUR_USD_Waehrung,GDX_GoldMinen,Rhodium_Preis
2011-12-15,152.330002,53604,122.18,36.130001,1.3018,48.973877,1425
2011-12-16,155.229996,53458,121.589996,36.27,1.3035,49.921513,1400
2011-12-19,154.869995,52961,120.290001,36.200001,1.2995,48.490578,1400
2011-12-20,156.979996,53487,123.93,37.560001,1.3079,50.215282,1400
2011-12-21,157.160004,53148,124.169998,38.110001,1.3045,50.186852,1400
2011-12-22,156.03999299999995,52894,125.269997,38.279999,1.3051,49.656178,1400
2011-12-23,156.309998,53067,126.389999,38.490002,1.3043,50.169365,1400
2011-12-27,154.910004,52711,126.489998,39.060001,1.3068,49.295036,1400
2011-12-28,151.029999,50636,124.830002,38.34,1.2936,47.574883,1400
2011-12-29,150.339996,50218,126.120003,38.41,1.2962,48.658298,1400
2011-12-30,151.990005,51445,125.5,38.110001,1.2948,48.876881,1400
2012-01-03,155.919998,53109,127.5,39.689999,1.3051,51.129227,1400
2012-01-04,156.71000700000005,52761,127.699997,39.77,1.2942,51.072212,1400
2012-01-05,157.779999,52740,128.03999299999998,39.169998,1.278,51.224262,1375
2012-01-06,157.199997,51868,127.709999,39.220001,1.2721,50.701565,1375
2012-01-09,156.5,51749,128.020004,39.080002,1.2767,50.986671,1350
2012-01-10,158.639999,52566,129.130005,39.34,1.2772,51.765972,1350
2012-01-11,159.669998,52607,129.199997,38.919998,1.2704,51.613911,1350
2012-01-12,160.380005,52770,129.509995,38.060001,1.2826,52.003555,1350
2012-01-13,159.259995,52001,128.839996,38.16,1.2677,51.366817,1375
2012-01-17,160.5,53207,129.339996,38.790001,1.274,50.540005,1375
2012-01-18,161.600006,53428,130.770004,38.830002,1.2854,50.597027,1375
2012-01-19,161.220001,53387,131.46000700000002,38.689999,1.2965,49.561138,1375
2012-01-20,162.070007,54825,131.949997,37.779999,1.2938,49.589649,1375
2012-01-23,163.160004,55565,131.610001,38.389999,1.3030000000000002,50.378445,1400
2012-01-24,162.009995,55365,131.46000700000002,38.099998,1.3022,49.24752,1400
2012-01-25,166.419998,56411,132.559998,38.349998,1.311,52.488239,1400
2012-01-27,168.970001,57165,131.820007,38.299999,1.3226,54.30342099999999,1425
2012-01-30,168.029999,56992,131.369995,38.009998,1.3127,53.657177,1450
2012-01-31,169.309998,56422,131.320007,37.82,1.3079,53.657177,1475
2012-02-01,169.559998,56834,132.470001,37.380001,1.3159,53.752213,1475
2012-02-02,171.050003,57023,132.679993,37.130001,1.3146,54.617039,1475
2012-02-03,167.639999,56161,134.53999299999998,37.59,1.3144,53.638172,1475
2012-02-06,167.179993,56426,134.449997,37.330002,1.3134,53.39107900000001,1475
2012-02-07,169.699997,57265,134.78999299999998,37.950001,1.3266,53.105972,1500
2012-02-08,168.5,56821,135.190002,38.040001,1.3258,52.782852,1500
2012-02-09,168.020004,57177,135.360001,38.330002,1.3283,52.50724399999999,1500
2012-02-10,167.139999,56915,134.360001,38.02,1.3175,51.78497700000001,1525
2012-02-13,167.509995,56664,135.360001,38.689999,1.3194,51.604408,1525
2012-02-14,167.119995,56416,135.190002,38.84,1.3119,51.100712,1550
2012-02-15,168.110001,56303,134.559998,39.18,1.3071,50.901142,1550
2012-02-16,168.0,56216,136.050003,39.279999,1.3141,52.222141,1525
2012-02-17,167.350006,55926,136.410004,39.75,1.3152,51.46185300000001,1525
2012-02-21,171.020004,57157,136.470001,40.580002,1.3241,53.048946,1525
2012-02-22,172.940002,57257,136.029999,40.59,1.3245,54.008816,1525
2012-02-23,173.020004,58677,136.630005,41.369999,1.3369,54.417465,1525
2012-02-24,172.229996,58404,136.929993,42.009998,1.3457,53.657177,1525
2012-02-27,171.699997,58710,137.160004,41.18,1.34,53.277035,1525
2012-02-28,173.490005,60883,137.559998,40.790001,1.347,54.483997,1525
2012-02-29,164.28999299999995,57783,137.020004,40.919998,1.3326,52.64980300000001,1525
2012-03-01,166.610001,58332,137.729996,41.75,1.3312,53.115479,1525
2012-03-02,166.339996,58056,137.309998,40.77,1.3203,52.070087,1525
2012-03-05,165.649994,56994,136.75,40.970001,1.3218,50.95816,1525
2012-03-06,162.699997,57708,134.75,40.130001,1.3115,49.865253,1525
2012-03-07,163.630005,58464,135.690002,40.610001,1.315,50.055317,1525
2012-03-08,165.279999,58775,137.03999299999998,40.82,1.3271,50.673054,1525
2012-03-09,166.380005,59221,137.570007,41.09,1.3114,50.597027,1525
2012-03-12,165.070007,58392,137.580002,40.700001,1.3155,49.770214,1525
2012-03-13,162.300003,58259,140.059998,40.830002,1.3084,49.523121,1525
2012-03-14,159.570007,57236,139.910004,40.41,1.3029,47.631908,1500
2012-03-15,161.080002,57979,140.720001,40.279999,1.3083,47.650917,1500
2012-03-16,161.300003,57254,140.300003,41.029999,1.3175,47.451344,1475
2012-03-19,161.589996,57505,140.850006,41.290001,1.3241,47.137726,1475
2012-03-20,160.130005,56466,140.440002,40.43,1.3225,47.384819,1475
2012-03-21,160.21000700000005,56851,140.21000700000002,40.66,1.3212,47.28978,1475
